base,symbol
10000LADYS,10000LADYSUSDT
10000NFT,10000NFTUSDT
10000SATS,10000SATSUSDT
10000STARL,10000STARLUSDT
10000WEN,10000WENUSDT
1000BONK,1000BONKUSDT
1000BTT,1000BTTUSDT
1000FLOKI,1000FLOKIUSDT
1000LUNC,1000LUNCUSDT
1000PEPE,1000PEPEUSDT
1000RATS,1000RATSUSDT
1000XEC,1000XECUSDT
1CAT,1CATUSDT
1INCH,1INCHUSDT
AAVE,AAVEUSDT
ACE,ACEUSDT
ACH,ACHUSDT
ADA,ADAUSDT
AERGO,AERGOUSDT
AGI,AGIUSDT
AGIX,AGIXUSDT
AGLD,AGLDUSDT
AI,AIUSDT
AKRO,AKROUSDT
ALGO,ALGOUSDT
ALICE,ALICEUSDT
ALPACA,ALPACAUSDT
ALPHA,ALPHAUSDT
ALT,ALTUSDT
AMB,AMBUSDT
ANKR,ANKRUSDT
ANT,ANTUSDT
APE,APEUSDT
API3,API3USDT
APT,APTUSDT
ARB,ARBUSDT
ARKM,ARKMUSDT
ARK,ARKUSDT
ARPA,ARPAUSDT
AR,ARUSDT
ASTR,ASTRUSDT
ATA,ATAUSDT
ATOM,ATOMUSDT
AUCTION,AUCTIONUSDT
AUDIO,AUDIOUSDT
AVAX,AVAXUSDT
AXL,AXLUSDT
AXS,AXSUSDT
BADGER,BADGERUSDT
BAKE,BAKEUSDT
BAL,USDT
BAND,BALUSDT
BAT,BATUSDT
BCH,BCHUSDT
BEAM,BEAMUSDT
BEL,BELUSDT
BICO,BICOUSDT
BIGTIME,BIGTIMEUSDT
BLUR,BLURUSDT
BLZ,BLZUSDT
BNB,BNBUSDT
BNT,BNTUSDT
BNX,BNXUSDT
BOBA,BOBAUSDT
BOND,BONDUSDT
BSV,BSVUSDT
BSW,BSWUSDT
BTC,BTCUSDT
C98,C98USDT
CAKE,CAKEUSDT
CEEK,CEEKUSDT
CELO,CELOUSDT
CELR,CELRUSDT
CETUS,CETUSUSDT
CFX,CFXUSDT
CHR,CHRUSDT
CHZ,CHZUSDT
CKB,CKBUSDT
COMBO,COMBOUSDT
COMP,COMPUSDT
CORE,COREUSDT
COTI,COTIUSDT
CRO,CROUSDT
CRV,CRVUSDT
CTC,CTCUSDT
CTK,CTKUSDT
CTSI,CTSIUSDT
CVC,CVCUSDT
CVX,CVXUSDT
CYBER,CYBERUSDT
DAR,DARUSDT
DASH,DASHUSDT
DATA,DATAUSDT
DENT,DENTUSDT
DGB,DGBUSDT
DODO,DODOUSDT
DOGE,DOGEUSDT
DOT,DOTUSDT
DUSK,DUSKUSDT
DYDX,DYDXUSDT
DYM,DYMUSDT
EDU,EDUUSDT
EGLD,EGLDUSDT
ENJ,ENJUSDT
ENS,ENSUSDT
EOS,EOSUSDT
ETC,ETCUSDT
ETH,ETHUSDT
ETHW,ETHWUSDT
FET,FETUSDT
FIL,FILUSDT
FITFI,FITFIUSDT
FLM,FLMUSDT
FLOW,FLOWUSDT
FLR,FLRUSDT
FORTH,FORTHUSDT
FRONT,FRONTUSDT
FTM,FTMUSDT
FUN,FUNUSDT
FXS,FXSUSDT
GALA,GALAUSDT
GAL,GALUSDT
GAS,GASUSDT
GFT,GFTUSDT
GLMR,GLMRUSDT
GLM,GLMUSDT
GMT,GMTUSDT
GMX,GMXUSDT
GODS,GODSUSDT
GPT,GPTUSDT
GRT,GRTUSDT
GTC,GTCUSDT
HBAR,HBARUSDT
HFT,HFTUSDT
HIFI,HIFIUSDT
HIGH,HIGHUSDT
HNT,HNTUSDT
HOOK,HOOKUSDT
HOT,HOTUSDT
ICP,ICPUSDT
ICX,ICXUSDT
IDEX,IDEXUSDT
ID,IDUSDT
ILV,ILVUSDT
IMX,IMXUSDT
INJ,INJUSDT
IOST,IOSTUSDT
IOTA,IOTAUSDT
IOTX,IOTXUSDT
